route,canonical_route,alias_group_size,route_type,source_file,line,block_start_line,aliases
bilibili://campus/home_tab/index/{campus_id},bilibili://campus/home_tab/index/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,883,879,"[""bilibili://campus/home_tab/index/{campus_id}""]"
bilibili://campus/home_tab/recommend,bilibili://campus/home_tab/recommend,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,948,944,"[""bilibili://campus/home_tab/recommend""]"
bilibili://campus/index/recommend,bilibili://campus/index/recommend,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,753,749,"[""bilibili://campus/index/recommend""]"
bilibili://campus/index/{campus_id},bilibili://campus/index/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,688,684,"[""bilibili://campus/index/{campus_id}""]"
bilibili://campus/like_list/{dynamic_id},bilibili://campus/like_list/{dynamic_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/p00.smali,951,947,"[""bilibili://campus/like_list/{dynamic_id}""]"
bilibili://campus/moment/{campus_id},bilibili://campus/moment/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/p00.smali,1297,1293,"[""bilibili://campus/moment/{campus_id}""]"
bilibili://campus/official/{campus_id},bilibili://campus/official/{campus_id},2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1647,1643,"[""bilibili://campus/official/{campus_id}"", ""bilibili://campus/read/{campus_id}""]"
bilibili://campus/page/billboard/{campus_id},bilibili://campus/page/billboard/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1238,1234,"[""bilibili://campus/page/billboard/{campus_id}""]"
bilibili://campus/page/manage/quiz/{campus_id},bilibili://campus/page/manage/quiz/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1093,1089,"[""bilibili://campus/page/manage/quiz/{campus_id}""]"
bilibili://campus/page/manage/{campus_id},bilibili://campus/page/manage/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1013,1009,"[""bilibili://campus/page/manage/{campus_id}""]"
bilibili://campus/page/official/{campus_id},bilibili://campus/page/official/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1370,1366,"[""bilibili://campus/page/official/{campus_id}""]"
bilibili://campus/page/read/{campus_id},bilibili://campus/page/read/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1304,1300,"[""bilibili://campus/page/read/{campus_id}""]"
bilibili://campus/page/rec_legacy/{campus_id},bilibili://campus/page/rec_legacy/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/p00.smali,1363,1359,"[""bilibili://campus/page/rec_legacy/{campus_id}""]"
bilibili://campus/page/rec_v2/{campus_id},bilibili://campus/page/rec_v2/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/p00.smali,1495,1491,"[""bilibili://campus/page/rec_v2/{campus_id}""]"
bilibili://campus/page/recommend/{campus_id},bilibili://campus/page/recommend/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1168,1164,"[""bilibili://campus/page/recommend/{campus_id}""]"
bilibili://campus/page/topic_home/{campus_id},bilibili://campus/page/topic_home/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1436,1432,"[""bilibili://campus/page/topic_home/{campus_id}""]"
bilibili://campus/read/{campus_id},bilibili://campus/official/{campus_id},2,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1651,1643,"[""bilibili://campus/official/{campus_id}"", ""bilibili://campus/read/{campus_id}""]"
bilibili://campus/search,bilibili://campus/search,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1502,1498,"[""bilibili://campus/search""]"
bilibili://campus/topic/{campus_id},bilibili://campus/topic/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/vu.smali,1783,1779,"[""bilibili://campus/topic/{campus_id}""]"
bilibili://campus/topic_home/{campus_id},bilibili://campus/topic_home/{campus_id},1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/p00.smali,1429,1425,"[""bilibili://campus/topic_home/{campus_id}""]"
bilibili://captcha/send_h5_captcha,bilibili://captcha/send_h5_captcha,1,web,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/x2.smali,125,121,"[""bilibili://captcha/send_h5_captcha""]"
bilibili://category/65541,bilibili://article/category,4,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/cr.smali,614,602,"[""bilibili://article/category"", ""bilibili://article/category/{categoryId}"", ""bilibili://category/65541"", ""bilibili://category/65541/0""]"
bilibili://category/65541/0,bilibili://article/category,4,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/cr.smali,618,602,"[""bilibili://article/category"", ""bilibili://article/category/{categoryId}"", ""bilibili://category/65541"", ""bilibili://category/65541/0""]"
bilibili://channel/home_center,bilibili://channel/home_center,1,native,apktool_out/smali_classes14/com/bilibili/lib/brouter/internal/routes/codegen/gj0.smali,2005,2001,"[""bilibili://channel/home_center""]"
